ticker,date,image_path,window_start,window_end
AAPL,2022-03-11,D:\full-stack2\data\charts\AAPL\2022-03-11.png,2022-02-11,2022-03-11
AAPL,2022-03-14,D:\full-stack2\data\charts\AAPL\2022-03-14.png,2022-02-14,2022-03-14
AAPL,2022-03-15,D:\full-stack2\data\charts\AAPL\2022-03-15.png,2022-02-15,2022-03-15
AAPL,2022-03-16,D:\full-stack2\data\charts\AAPL\2022-03-16.png,2022-02-16,2022-03-16
AAPL,2022-03-17,D:\full-stack2\data\charts\AAPL\2022-03-17.png,2022-02-17,2022-03-17
AAPL,2022-03-18,D:\full-stack2\data\charts\AAPL\2022-03-18.png,2022-02-18,2022-03-18
AAPL,2022-03-21,D:\full-stack2\data\charts\AAPL\2022-03-21.png,2022-02-22,2022-03-21
AAPL,2022-03-22,D:\full-stack2\data\charts\AAPL\2022-03-22.png,2022-02-23,2022-03-22
AAPL,2022-03-23,D:\full-stack2\data\charts\AAPL\2022-03-23.png,2022-02-24,2022-03-23
AAPL,2022-03-24,D:\full-stack2\data\charts\AAPL\2022-03-24.png,2022-02-25,2022-03-24
AAPL,2022-03-25,D:\full-stack2\data\charts\AAPL\2022-03-25.png,2022-02-28,2022-03-25
AAPL,2022-03-28,D:\full-stack2\data\charts\AAPL\2022-03-28.png,2022-03-01,2022-03-28
AAPL,2022-03-29,D:\full-stack2\data\charts\AAPL\2022-03-29.png,2022-03-02,2022-03-29
AAPL,2022-03-30,D:\full-stack2\data\charts\AAPL\2022-03-30.png,2022-03-03,2022-03-30
AAPL,2022-03-31,D:\full-stack2\data\charts\AAPL\2022-03-31.png,2022-03-04,2022-03-31
AAPL,2022-04-01,D:\full-stack2\data\charts\AAPL\2022-04-01.png,2022-03-07,2022-04-01
AAPL,2022-04-04,D:\full-stack2\data\charts\AAPL\2022-04-04.png,2022-03-08,2022-04-04
AAPL,2022-04-05,D:\full-stack2\data\charts\AAPL\2022-04-05.png,2022-03-09,2022-04-05
AAPL,2022-04-06,D:\full-stack2\data\charts\AAPL\2022-04-06.png,2022-03-10,2022-04-06
AAPL,2022-04-07,D:\full-stack2\data\charts\AAPL\2022-04-07.png,2022-03-11,2022-04-07
AAPL,2022-04-08,D:\full-stack2\data\charts\AAPL\2022-04-08.png,2022-03-14,2022-04-08
AAPL,2022-04-11,D:\full-stack2\data\charts\AAPL\2022-04-11.png,2022-03-15,2022-04-11
AAPL,2022-04-12,D:\full-stack2\data\charts\AAPL\2022-04-12.png,2022-03-16,2022-04-12
AAPL,2022-04-13,D:\full-stack2\data\charts\AAPL\2022-04-13.png,2022-03-17,2022-04-13
AAPL,2022-04-14,D:\full-stack2\data\charts\AAPL\2022-04-14.png,2022-03-18,2022-04-14
AAPL,2022-04-18,D:\full-stack2\data\charts\AAPL\2022-04-18.png,2022-03-21,2022-04-18
AAPL,2022-04-19,D:\full-stack2\data\charts\AAPL\2022-04-19.png,2022-03-22,2022-04-19
AAPL,2022-04-20,D:\full-stack2\data\charts\AAPL\2022-04-20.png,2022-03-23,2022-04-20
AAPL,2022-04-21,D:\full-stack2\data\charts\AAPL\2022-04-21.png,2022-03-24,2022-04-21
AAPL,2022-04-22,D:\full-stack2\data\charts\AAPL\2022-04-22.png,2022-03-25,2022-04-22
AAPL,2022-04-25,D:\full-stack2\data\charts\AAPL\2022-04-25.png,2022-03-28,2022-04-25
AAPL,2022-04-26,D:\full-stack2\data\charts\AAPL\2022-04-26.png,2022-03-29,2022-04-26
AAPL,2022-04-27,D:\full-stack2\data\charts\AAPL\2022-04-27.png,2022-03-30,2022-04-27
AAPL,2022-04-28,D:\full-stack2\data\charts\AAPL\2022-04-28.png,2022-03-31,2022-04-28
AAPL,2022-04-29,D:\full-stack2\data\charts\AAPL\2022-04-29.png,2022-04-01,2022-04-29
AAPL,2022-05-02,D:\full-stack2\data\charts\AAPL\2022-05-02.png,2022-04-04,2022-05-02
AAPL,2022-05-03,D:\full-stack2\data\charts\AAPL\2022-05-03.png,2022-04-05,2022-05-03
AAPL,2022-05-04,D:\full-stack2\data\charts\AAPL\2022-05-04.png,2022-04-06,2022-05-04
AAPL,2022-05-05,D:\full-stack2\data\charts\AAPL\2022-05-05.png,2022-04-07,2022-05-05
AAPL,2022-05-06,D:\full-stack2\data\charts\AAPL\2022-05-06.png,2022-04-08,2022-05-06
AAPL,2022-05-09,D:\full-stack2\data\charts\AAPL\2022-05-09.png,2022-04-11,2022-05-09
AAPL,2022-05-10,D:\full-stack2\data\charts\AAPL\2022-05-10.png,2022-04-12,2022-05-10
AAPL,2022-05-11,D:\full-stack2\data\charts\AAPL\2022-05-11.png,2022-04-13,2022-05-11
AAPL,2022-05-12,D:\full-stack2\data\charts\AAPL\2022-05-12.png,2022-04-14,2022-05-12
AAPL,2022-05-13,D:\full-stack2\data\charts\AAPL\2022-05-13.png,2022-04-18,2022-05-13
AAPL,2022-05-16,D:\full-stack2\data\charts\AAPL\2022-05-16.png,2022-04-19,2022-05-16
AAPL,2022-05-17,D:\full-stack2\data\charts\AAPL\2022-05-17.png,2022-04-20,2022-05-17
AAPL,2022-05-18,D:\full-stack2\data\charts\AAPL\2022-05-18.png,2022-04-21,2022-05-18
AAPL,2022-05-19,D:\full-stack2\data\charts\AAPL\2022-05-19.png,2022-04-22,2022-05-19
AAPL,2022-05-20,D:\full-stack2\data\charts\AAPL\2022-05-20.png,2022-04-25,2022-05-20
AAPL,2022-05-23,D:\full-stack2\data\charts\AAPL\2022-05-23.png,2022-04-26,2022-05-23
AAPL,2022-05-24,D:\full-stack2\data\charts\AAPL\2022-05-24.png,2022-04-27,2022-05-24
AAPL,2022-05-25,D:\full-stack2\data\charts\AAPL\2022-05-25.png,2022-04-28,2022-05-25
AAPL,2022-05-26,D:\full-stack2\data\charts\AAPL\2022-05-26.png,2022-04-29,2022-05-26
AAPL,2022-05-27,D:\full-stack2\data\charts\AAPL\2022-05-27.png,2022-05-02,2022-05-27
AAPL,2022-05-31,D:\full-stack2\data\charts\AAPL\2022-05-31.png,2022-05-03,2022-05-31
AAPL,2022-06-01,D:\full-stack2\data\charts\AAPL\2022-06-01.png,2022-05-04,2022-06-01
AAPL,2022-06-02,D:\full-stack2\data\charts\AAPL\2022-06-02.png,2022-05-05,2022-06-02
AAPL,2022-06-03,D:\full-stack2\data\charts\AAPL\2022-06-03.png,2022-05-06,2022-06-03
AAPL,2022-06-06,D:\full-stack2\data\charts\AAPL\2022-06-06.png,2022-05-09,2022-06-06
AAPL,2022-06-07,D:\full-stack2\data\charts\AAPL\2022-06-07.png,2022-05-10,2022-06-07
AAPL,2022-06-08,D:\full-stack2\data\charts\AAPL\2022-06-08.png,2022-05-11,2022-06-08
AAPL,2022-06-09,D:\full-stack2\data\charts\AAPL\2022-06-09.png,2022-05-12,2022-06-09
AAPL,2022-06-10,D:\full-stack2\data\charts\AAPL\2022-06-10.png,2022-05-13,2022-06-10
AAPL,2022-06-13,D:\full-stack2\data\charts\AAPL\2022-06-13.png,2022-05-16,2022-06-13
AAPL,2022-06-14,D:\full-stack2\data\charts\AAPL\2022-06-14.png,2022-05-17,2022-06-14
AAPL,2022-06-15,D:\full-stack2\data\charts\AAPL\2022-06-15.png,2022-05-18,2022-06-15
AAPL,2022-06-16,D:\full-stack2\data\charts\AAPL\2022-06-16.png,2022-05-19,2022-06-16
AAPL,2022-06-17,D:\full-stack2\data\charts\AAPL\2022-06-17.png,2022-05-20,2022-06-17
AAPL,2022-06-21,D:\full-stack2\data\charts\AAPL\2022-06-21.png,2022-05-23,2022-06-21
AAPL,2022-06-22,D:\full-stack2\data\charts\AAPL\2022-06-22.png,2022-05-24,2022-06-22
AAPL,2022-06-23,D:\full-stack2\data\charts\AAPL\2022-06-23.png,2022-05-25,2022-06-23
AAPL,2022-06-24,D:\full-stack2\data\charts\AAPL\2022-06-24.png,2022-05-26,2022-06-24
AAPL,2022-06-27,D:\full-stack2\data\charts\AAPL\2022-06-27.png,2022-05-27,2022-06-27
AAPL,2022-06-28,D:\full-stack2\data\charts\AAPL\2022-06-28.png,2022-05-31,2022-06-28
AAPL,2022-06-29,D:\full-stack2\data\charts\AAPL\2022-06-29.png,2022-06-01,2022-06-29
AAPL,2022-06-30,D:\full-stack2\data\charts\AAPL\2022-06-30.png,2022-06-02,2022-06-30
AAPL,2022-07-01,D:\full-stack2\data\charts\AAPL\2022-07-01.png,2022-06-03,2022-07-01
AAPL,2022-07-05,D:\full-stack2\data\charts\AAPL\2022-07-05.png,2022-06-06,2022-07-05
AAPL,2022-07-06,D:\full-stack2\data\charts\AAPL\2022-07-06.png,2022-06-07,2022-07-06
AAPL,2022-07-07,D:\full-stack2\data\charts\AAPL\2022-07-07.png,2022-06-08,2022-07-07
AAPL,2022-07-08,D:\full-stack2\data\charts\AAPL\2022-07-08.png,2022-06-09,2022-07-08
AAPL,2022-07-11,D:\full-stack2\data\charts\AAPL\2022-07-11.png,2022-06-10,2022-07-11
AAPL,2022-07-12,D:\full-stack2\data\charts\AAPL\2022-07-12.png,2022-06-13,2022-07-12
AAPL,2022-07-13,D:\full-stack2\data\charts\AAPL\2022-07-13.png,2022-06-14,2022-07-13
AAPL,2022-07-14,D:\full-stack2\data\charts\AAPL\2022-07-14.png,2022-06-15,2022-07-14
AAPL,2022-07-15,D:\full-stack2\data\charts\AAPL\2022-07-15.png,2022-06-16,2022-07-15
AAPL,2022-07-18,D:\full-stack2\data\charts\AAPL\2022-07-18.png,2022-06-17,2022-07-18
AAPL,2022-07-19,D:\full-stack2\data\charts\AAPL\2022-07-19.png,2022-06-21,2022-07-19
AAPL,2022-07-20,D:\full-stack2\data\charts\AAPL\2022-07-20.png,2022-06-22,2022-07-20
AAPL,2022-07-21,D:\full-stack2\data\charts\AAPL\2022-07-21.png,2022-06-23,2022-07-21
AAPL,2022-07-22,D:\full-stack2\data\charts\AAPL\2022-07-22.png,2022-06-24,2022-07-22
AAPL,2022-07-25,D:\full-stack2\data\charts\AAPL\2022-07-25.png,2022-06-27,2022-07-25
AAPL,2022-07-26,D:\full-stack2\data\charts\AAPL\2022-07-26.png,2022-06-28,2022-07-26
AAPL,2022-07-27,D:\full-stack2\data\charts\AAPL\2022-07-27.png,2022-06-29,2022-07-27
AAPL,2022-07-28,D:\full-stack2\data\charts\AAPL\2022-07-28.png,2022-06-30,2022-07-28
AAPL,2022-07-29,D:\full-stack2\data\charts\AAPL\2022-07-29.png,2022-07-01,2022-07-29
AAPL,2022-08-01,D:\full-stack2\data\charts\AAPL\2022-08-01.png,2022-07-05,2022-08-01
AAPL,2022-08-02,D:\full-stack2\data\charts\AAPL\2022-08-02.png,2022-07-06,2022-08-02
AAPL,2022-08-03,D:\full-stack2\data\charts\AAPL\2022-08-03.png,2022-07-07,2022-08-03
AAPL,2022-08-04,D:\full-stack2\data\charts\AAPL\2022-08-04.png,2022-07-08,2022-08-04
AAPL,2022-08-05,D:\full-stack2\data\charts\AAPL\2022-08-05.png,2022-07-11,2022-08-05
AAPL,2022-08-08,D:\full-stack2\data\charts\AAPL\2022-08-08.png,2022-07-12,2022-08-08
AAPL,2022-08-09,D:\full-stack2\data\charts\AAPL\2022-08-09.png,2022-07-13,2022-08-09
AAPL,2022-08-10,D:\full-stack2\data\charts\AAPL\2022-08-10.png,2022-07-14,2022-08-10
AAPL,2022-08-11,D:\full-stack2\data\charts\AAPL\2022-08-11.png,2022-07-15,2022-08-11
AAPL,2022-08-12,D:\full-stack2\data\charts\AAPL\2022-08-12.png,2022-07-18,2022-08-12
AAPL,2022-08-15,D:\full-stack2\data\charts\AAPL\2022-08-15.png,2022-07-19,2022-08-15
AAPL,2022-08-16,D:\full-stack2\data\charts\AAPL\2022-08-16.png,2022-07-20,2022-08-16
AAPL,2022-08-17,D:\full-stack2\data\charts\AAPL\2022-08-17.png,2022-07-21,2022-08-17
AAPL,2022-08-18,D:\full-stack2\data\charts\AAPL\2022-08-18.png,2022-07-22,2022-08-18
AAPL,2022-08-19,D:\full-stack2\data\charts\AAPL\2022-08-19.png,2022-07-25,2022-08-19
AAPL,2022-08-22,D:\full-stack2\data\charts\AAPL\2022-08-22.png,2022-07-26,2022-08-22
AAPL,2022-08-23,D:\full-stack2\data\charts\AAPL\2022-08-23.png,2022-07-27,2022-08-23
AAPL,2022-08-24,D:\full-stack2\data\charts\AAPL\2022-08-24.png,2022-07-28,2022-08-24
AAPL,2022-08-25,D:\full-stack2\data\charts\AAPL\2022-08-25.png,2022-07-29,2022-08-25
AAPL,2022-08-26,D:\full-stack2\data\charts\AAPL\2022-08-26.png,2022-08-01,2022-08-26
AAPL,2022-08-29,D:\full-stack2\data\charts\AAPL\2022-08-29.png,2022-08-02,2022-08-29
AAPL,2022-08-30,D:\full-stack2\data\charts\AAPL\2022-08-30.png,2022-08-03,2022-08-30
AAPL,2022-08-31,D:\full-stack2\data\charts\AAPL\2022-08-31.png,2022-08-04,2022-08-31
AAPL,2022-09-01,D:\full-stack2\data\charts\AAPL\2022-09-01.png,2022-08-05,2022-09-01
AAPL,2022-09-02,D:\full-stack2\data\charts\AAPL\2022-09-02.png,2022-08-08,2022-09-02
AAPL,2022-09-06,D:\full-stack2\data\charts\AAPL\2022-09-06.png,2022-08-09,2022-09-06
AAPL,2022-09-07,D:\full-stack2\data\charts\AAPL\2022-09-07.png,2022-08-10,2022-09-07
AAPL,2022-09-08,D:\full-stack2\data\charts\AAPL\2022-09-08.png,2022-08-11,2022-09-08
AAPL,2022-09-09,D:\full-stack2\data\charts\AAPL\2022-09-09.png,2022-08-12,2022-09-09
AAPL,2022-09-12,D:\full-stack2\data\charts\AAPL\2022-09-12.png,2022-08-15,2022-09-12
AAPL,2022-09-13,D:\full-stack2\data\charts\AAPL\2022-09-13.png,2022-08-16,2022-09-13
AAPL,2022-09-14,D:\full-stack2\data\charts\AAPL\2022-09-14.png,2022-08-17,2022-09-14
AAPL,2022-09-15,D:\full-stack2\data\charts\AAPL\2022-09-15.png,2022-08-18,2022-09-15
AAPL,2022-09-16,D:\full-stack2\data\charts\AAPL\2022-09-16.png,2022-08-19,2022-09-16
AAPL,2022-09-19,D:\full-stack2\data\charts\AAPL\2022-09-19.png,2022-08-22,2022-09-19
AAPL,2022-09-20,D:\full-stack2\data\charts\AAPL\2022-09-20.png,2022-08-23,2022-09-20
AAPL,2022-09-21,D:\full-stack2\data\charts\AAPL\2022-09-21.png,2022-08-24,2022-09-21
AAPL,2022-09-22,D:\full-stack2\data\charts\AAPL\2022-09-22.png,2022-08-25,2022-09-22
AAPL,2022-09-23,D:\full-stack2\data\charts\AAPL\2022-09-23.png,2022-08-26,2022-09-23
AAPL,2022-09-26,D:\full-stack2\data\charts\AAPL\2022-09-26.png,2022-08-29,2022-09-26
AAPL,2022-09-27,D:\full-stack2\data\charts\AAPL\2022-09-27.png,2022-08-30,2022-09-27
AAPL,2022-09-28,D:\full-stack2\data\charts\AAPL\2022-09-28.png,2022-08-31,2022-09-28
AAPL,2022-09-29,D:\full-stack2\data\charts\AAPL\2022-09-29.png,2022-09-01,2022-09-29
AAPL,2022-09-30,D:\full-stack2\data\charts\AAPL\2022-09-30.png,2022-09-02,2022-09-30
AAPL,2022-10-03,D:\full-stack2\data\charts\AAPL\2022-10-03.png,2022-09-06,2022-10-03
AAPL,2022-10-04,D:\full-stack2\data\charts\AAPL\2022-10-04.png,2022-09-07,2022-10-04
AAPL,2022-10-05,D:\full-stack2\data\charts\AAPL\2022-10-05.png,2022-09-08,2022-10-05
AAPL,2022-10-06,D:\full-stack2\data\charts\AAPL\2022-10-06.png,2022-09-09,2022-10-06
AAPL,2022-10-07,D:\full-stack2\data\charts\AAPL\2022-10-07.png,2022-09-12,2022-10-07
AAPL,2022-10-10,D:\full-stack2\data\charts\AAPL\2022-10-10.png,2022-09-13,2022-10-10
AAPL,2022-10-11,D:\full-stack2\data\charts\AAPL\2022-10-11.png,2022-09-14,2022-10-11
AAPL,2022-10-12,D:\full-stack2\data\charts\AAPL\2022-10-12.png,2022-09-15,2022-10-12
AAPL,2022-10-13,D:\full-stack2\data\charts\AAPL\2022-10-13.png,2022-09-16,2022-10-13
AAPL,2022-10-14,D:\full-stack2\data\charts\AAPL\2022-10-14.png,2022-09-19,2022-10-14
AAPL,2022-10-17,D:\full-stack2\data\charts\AAPL\2022-10-17.png,2022-09-20,2022-10-17
AAPL,2022-10-18,D:\full-stack2\data\charts\AAPL\2022-10-18.png,2022-09-21,2022-10-18
AAPL,2022-10-19,D:\full-stack2\data\charts\AAPL\2022-10-19.png,2022-09-22,2022-10-19
AAPL,2022-10-20,D:\full-stack2\data\charts\AAPL\2022-10-20.png,2022-09-23,2022-10-20
AAPL,2022-10-21,D:\full-stack2\data\charts\AAPL\2022-10-21.png,2022-09-26,2022-10-21
AAPL,2022-10-24,D:\full-stack2\data\charts\AAPL\2022-10-24.png,2022-09-27,2022-10-24
AAPL,2022-10-25,D:\full-stack2\data\charts\AAPL\2022-10-25.png,2022-09-28,2022-10-25
AAPL,2022-10-26,D:\full-stack2\data\charts\AAPL\2022-10-26.png,2022-09-29,2022-10-26
AAPL,2022-10-27,D:\full-stack2\data\charts\AAPL\2022-10-27.png,2022-09-30,2022-10-27
AAPL,2022-10-28,D:\full-stack2\data\charts\AAPL\2022-10-28.png,2022-10-03,2022-10-28
AAPL,2022-10-31,D:\full-stack2\data\charts\AAPL\2022-10-31.png,2022-10-04,2022-10-31
AAPL,2022-11-01,D:\full-stack2\data\charts\AAPL\2022-11-01.png,2022-10-05,2022-11-01
AAPL,2022-11-02,D:\full-stack2\data\charts\AAPL\2022-11-02.png,2022-10-06,2022-11-02
AAPL,2022-11-03,D:\full-stack2\data\charts\AAPL\2022-11-03.png,2022-10-07,2022-11-03
AAPL,2022-11-04,D:\full-stack2\data\charts\AAPL\2022-11-04.png,2022-10-10,2022-11-04
AAPL,2022-11-07,D:\full-stack2\data\charts\AAPL\2022-11-07.png,2022-10-11,2022-11-07
AAPL,2022-11-08,D:\full-stack2\data\charts\AAPL\2022-11-08.png,2022-10-12,2022-11-08
AAPL,2022-11-09,D:\full-stack2\data\charts\AAPL\2022-11-09.png,2022-10-13,2022-11-09
AAPL,2022-11-10,D:\full-stack2\data\charts\AAPL\2022-11-10.png,2022-10-14,2022-11-10
AAPL,2022-11-11,D:\full-stack2\data\charts\AAPL\2022-11-11.png,2022-10-17,2022-11-11
AAPL,2022-11-14,D:\full-stack2\data\charts\AAPL\2022-11-14.png,2022-10-18,2022-11-14
AAPL,2022-11-15,D:\full-stack2\data\charts\AAPL\2022-11-15.png,2022-10-19,2022-11-15
AAPL,2022-11-16,D:\full-stack2\data\charts\AAPL\2022-11-16.png,2022-10-20,2022-11-16
AAPL,2022-11-17,D:\full-stack2\data\charts\AAPL\2022-11-17.png,2022-10-21,2022-11-17
AAPL,2022-11-18,D:\full-stack2\data\charts\AAPL\2022-11-18.png,2022-10-24,2022-11-18
AAPL,2022-11-21,D:\full-stack2\data\charts\AAPL\2022-11-21.png,2022-10-25,2022-11-21
AAPL,2022-11-22,D:\full-stack2\data\charts\AAPL\2022-11-22.png,2022-10-26,2022-11-22
AAPL,2022-11-23,D:\full-stack2\data\charts\AAPL\2022-11-23.png,2022-10-27,2022-11-23
AAPL,2022-11-25,D:\full-stack2\data\charts\AAPL\2022-11-25.png,2022-10-28,2022-11-25
AAPL,2022-11-28,D:\full-stack2\data\charts\AAPL\2022-11-28.png,2022-10-31,2022-11-28
AAPL,2022-11-29,D:\full-stack2\data\charts\AAPL\2022-11-29.png,2022-11-01,2022-11-29
AAPL,2022-11-30,D:\full-stack2\data\charts\AAPL\2022-11-30.png,2022-11-02,2022-11-30
AAPL,2022-12-01,D:\full-stack2\data\charts\AAPL\2022-12-01.png,2022-11-03,2022-12-01
AAPL,2022-12-02,D:\full-stack2\data\charts\AAPL\2022-12-02.png,2022-11-04,2022-12-02
AAPL,2022-12-05,D:\full-stack2\data\charts\AAPL\2022-12-05.png,2022-11-07,2022-12-05
AAPL,2022-12-06,D:\full-stack2\data\charts\AAPL\2022-12-06.png,2022-11-08,2022-12-06
AAPL,2022-12-07,D:\full-stack2\data\charts\AAPL\2022-12-07.png,2022-11-09,2022-12-07
AAPL,2022-12-08,D:\full-stack2\data\charts\AAPL\2022-12-08.png,2022-11-10,2022-12-08
AAPL,2022-12-09,D:\full-stack2\data\charts\AAPL\2022-12-09.png,2022-11-11,2022-12-09
AAPL,2022-12-12,D:\full-stack2\data\charts\AAPL\2022-12-12.png,2022-11-14,2022-12-12
AAPL,2022-12-13,D:\full-stack2\data\charts\AAPL\2022-12-13.png,2022-11-15,2022-12-13
AAPL,2022-12-14,D:\full-stack2\data\charts\AAPL\2022-12-14.png,2022-11-16,2022-12-14
AAPL,2022-12-15,D:\full-stack2\data\charts\AAPL\2022-12-15.png,2022-11-17,2022-12-15
AAPL,2022-12-16,D:\full-stack2\data\charts\AAPL\2022-12-16.png,2022-11-18,2022-12-16
AAPL,2022-12-19,D:\full-stack2\data\charts\AAPL\2022-12-19.png,2022-11-21,2022-12-19
AAPL,2022-12-20,D:\full-stack2\data\charts\AAPL\2022-12-20.png,2022-11-22,2022-12-20
AAPL,2022-12-21,D:\full-stack2\data\charts\AAPL\2022-12-21.png,2022-11-23,2022-12-21
AAPL,2022-12-22,D:\full-stack2\data\charts\AAPL\2022-12-22.png,2022-11-25,2022-12-22
AAPL,2022-12-23,D:\full-stack2\data\charts\AAPL\2022-12-23.png,2022-11-28,2022-12-23
AAPL,2022-12-27,D:\full-stack2\data\charts\AAPL\2022-12-27.png,2022-11-29,2022-12-27
AAPL,2022-12-28,D:\full-stack2\data\charts\AAPL\2022-12-28.png,2022-11-30,2022-12-28
AAPL,2022-12-29,D:\full-stack2\data\charts\AAPL\2022-12-29.png,2022-12-01,2022-12-29
AAPL,2022-12-30,D:\full-stack2\data\charts\AAPL\2022-12-30.png,2022-12-02,2022-12-30
AAPL,2023-01-03,D:\full-stack2\data\charts\AAPL\2023-01-03.png,2022-12-05,2023-01-03
AAPL,2023-01-04,D:\full-stack2\data\charts\AAPL\2023-01-04.png,2022-12-06,2023-01-04
AAPL,2023-01-05,D:\full-stack2\data\charts\AAPL\2023-01-05.png,2022-12-07,2023-01-05
AAPL,2023-01-06,D:\full-stack2\data\charts\AAPL\2023-01-06.png,2022-12-08,2023-01-06
AAPL,2023-01-09,D:\full-stack2\data\charts\AAPL\2023-01-09.png,2022-12-09,2023-01-09
AAPL,2023-01-10,D:\full-stack2\data\charts\AAPL\2023-01-10.png,2022-12-12,2023-01-10
AAPL,2023-01-11,D:\full-stack2\data\charts\AAPL\2023-01-11.png,2022-12-13,2023-01-11
AAPL,2023-01-12,D:\full-stack2\data\charts\AAPL\2023-01-12.png,2022-12-14,2023-01-12
AAPL,2023-01-13,D:\full-stack2\data\charts\AAPL\2023-01-13.png,2022-12-15,2023-01-13
AAPL,2023-01-17,D:\full-stack2\data\charts\AAPL\2023-01-17.png,2022-12-16,2023-01-17
AAPL,2023-01-18,D:\full-stack2\data\charts\AAPL\2023-01-18.png,2022-12-19,2023-01-18
AAPL,2023-01-19,D:\full-stack2\data\charts\AAPL\2023-01-19.png,2022-12-20,2023-01-19
AAPL,2023-01-20,D:\full-stack2\data\charts\AAPL\2023-01-20.png,2022-12-21,2023-01-20
AAPL,2023-01-23,D:\full-stack2\data\charts\AAPL\2023-01-23.png,2022-12-22,2023-01-23
AAPL,2023-01-24,D:\full-stack2\data\charts\AAPL\2023-01-24.png,2022-12-23,2023-01-24
AAPL,2023-01-25,D:\full-stack2\data\charts\AAPL\2023-01-25.png,2022-12-27,2023-01-25
AAPL,2023-01-26,D:\full-stack2\data\charts\AAPL\2023-01-26.png,2022-12-28,2023-01-26
AAPL,2023-01-27,D:\full-stack2\data\charts\AAPL\2023-01-27.png,2022-12-29,2023-01-27
AAPL,2023-01-30,D:\full-stack2\data\charts\AAPL\2023-01-30.png,2022-12-30,2023-01-30
AAPL,2023-01-31,D:\full-stack2\data\charts\AAPL\2023-01-31.png,2023-01-03,2023-01-31
AAPL,2023-02-01,D:\full-stack2\data\charts\AAPL\2023-02-01.png,2023-01-04,2023-02-01
AAPL,2023-02-02,D:\full-stack2\data\charts\AAPL\2023-02-02.png,2023-01-05,2023-02-02
AAPL,2023-02-03,D:\full-stack2\data\charts\AAPL\2023-02-03.png,2023-01-06,2023-02-03
AAPL,2023-02-06,D:\full-stack2\data\charts\AAPL\2023-02-06.png,2023-01-09,2023-02-06
AAPL,2023-02-07,D:\full-stack2\data\charts\AAPL\2023-02-07.png,2023-01-10,2023-02-07
AAPL,2023-02-08,D:\full-stack2\data\charts\AAPL\2023-02-08.png,2023-01-11,2023-02-08
